ID;Word;Category;IsActive
00000000-0000-0000-0000-000000000001; amık ;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000003; amın;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000004; amina;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000005; amına;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000006; aminda;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000007; amindan;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000008; amini;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000009; amını;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000010; amını s;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000011; amlı ;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000012; anal ;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000013; anan ;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000014; anana ;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000015; anandan;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000002; anani ;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000016; ananı ;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000017; ananin;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000018; ananın;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000019; anasını;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000020; anasinin;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000021; attırdığım;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000022; azdım;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000023; azdırıcı;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000024; mcik;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000025; meme ;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000026; memeler ;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000027; sikis;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000028; ulan;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000029; yalamak;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000030; yarak;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000031;a q;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000032;a.q;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000033;a.q.;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000034;abanmak ;Saygısız & Uygunsuz;TRUE
00000000-0000-0000-0000-000000000035;abazan;Cinsellik / Küfür;TRUE
00000000-0000-0000-0000-000000000036;Adalet Birlik Partisi;Siyasi;TRUE
00000000-0000-0000-0000-000000000037;Adalet Partisi;Siyasi;TRUE
00000000-0000-0000-0000-000000000038;adalet ve kalkinma partisi;Siyasi;TRUE
00000000-0000-0000-0000-000000000039;Adalet ve Kalkınma Partisi;Siyasi;TRUE
00000000-0000-0000-0000-000000000040;adi şerefsiz;Cinsellik / Küfür;TRUE
