ID;Word;Category;IsActive;DateDisabled
00000000-0000-0000-0000-000000000001;a.q;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000002;a.q.;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000003;am;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000004;amcık;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000005;amcik;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000006;amı;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000007;amın;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000008;amına;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000009;amk;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000010;amk;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000011;anal;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000012;anan;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000013;ananı;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000014;aq;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000015;azdirici;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000016;azgın;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000017;azgin;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000018;baban;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000019;bakire;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000020;biseksuel;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000021;bosal;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000022;bosalmak;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000023;boşalmak;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000024;cenabet;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000025;ciftles;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000026;ciplak;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000027;çıplak;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000028;çiftleş;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000029;domal;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000030;ensest;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000031;erotic;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000032;erotig;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000033;erotik;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000034;escinsel;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000035;escort;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000036;eskort;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000037;eşcinsel;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000038;fahise;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000039;fahişe;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000040;fantazi;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000041;fantezi;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000042;fetish;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000043;fetiş;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000044;firikik;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000045;gay;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000046;geciktirici;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000047;genital;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000048;gerdek;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000049;gey;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000050;götdeliği;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000051;götü;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000052;homoseksuel;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000053;homoseksüel;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000054;ibnesiniz;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000055;jigolo;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000056;kaltak;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000057;kancık;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000058;kancik;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000059;kerhane;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000060;kudur;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000061;kulot;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000062;külot;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000063;lezbien;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000064;lezbiyen;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000065;lolita;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000066;mastırbas;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000067;mastirbas;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000068;masturbasyon;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000069;mastürbas;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000070;mastürbasyon;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000071;meme;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000072;mk;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000073;o.ç;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000074;oc;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000075;oç;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000076;opusme;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000077;oral;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000078;orgazm;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000079;orospu;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000080;orospu çocuğu;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000081;orospu çocukları;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000082;orospuçocuğu;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000083;öpüşme;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000084;partner;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000085;penis;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000086;pezevenk;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000087;pic;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000088;piç;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000089;popo;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000090;porno;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000091;prezervatif;Cinsellik;TRUE;
00000000-0000-0000-0000-000000000092;s.ktir;Cinsellik;TRUE;
